"","dem_vote","marital_id","state_id"
"554",0,0,"arizona"
"555",1,0,"arizona"
"556",0,1,"arizona"
"557",0,1,"arizona"
"558",0,1,"arizona"
"559",1,0,"arizona"
"560",1,0,"arizona"
"561",0,0,"arizona"
"562",1,1,"arizona"
"563",1,1,"arizona"
"564",1,1,"arizona"
"565",0,0,"arizona"
"566",1,0,"arizona"
"567",1,1,"arizona"
"568",1,0,"arizona"
"569",0,0,"arizona"
"570",0,0,"arizona"
"571",1,1,"arizona"
"572",0,1,"arizona"
"573",1,0,"arizona"
"574",0,0,"arizona"
"575",1,0,"arizona"
"576",0,1,"arizona"
"577",1,1,"arizona"
"578",0,1,"arizona"
"579",0,1,"arizona"
"580",1,0,"arizona"
"581",0,1,"arizona"
"582",1,1,"arizona"
"583",0,1,"arizona"
"584",0,1,"arizona"
"585",0,1,"arizona"
"586",0,1,"arizona"
"587",0,0,"arizona"
"588",0,1,"arizona"
"589",1,1,"arizona"
"590",0,1,"arizona"
"591",1,1,"arizona"
"592",0,1,"arizona"
"593",0,0,"arizona"
"594",1,1,"arizona"
"595",1,0,"arizona"
"596",0,1,"arizona"
"597",0,1,"arizona"
"598",0,1,"arizona"
"599",0,0,"arizona"
"600",0,0,"arizona"
"601",0,1,"arizona"
"602",0,1,"arizona"
"603",0,0,"arizona"
"604",1,0,"arizona"
"605",0,1,"arizona"
"606",1,1,"arizona"
"607",0,0,"arizona"
"608",1,0,"arizona"
"609",1,1,"arizona"
"610",0,0,"arizona"
"611",0,1,"arizona"
"612",1,0,"arizona"
"613",0,1,"arizona"
"614",1,1,"arizona"
"615",0,1,"arizona"
"616",0,1,"arizona"
"617",0,1,"arizona"
"618",1,0,"arizona"
"619",1,0,"arizona"
"620",1,1,"arizona"
"621",1,0,"arizona"
"622",1,0,"arizona"
"623",0,1,"arizona"
"624",0,1,"arizona"
"625",1,1,"arizona"
"626",1,0,"arizona"
"627",1,0,"arizona"
"628",0,0,"arizona"
"629",1,1,"arizona"
"630",0,1,"arizona"
"631",0,1,"arizona"
"632",1,1,"arizona"
"633",0,1,"arizona"
"634",0,1,"arizona"
"635",0,1,"arizona"
"636",0,1,"arizona"
"637",0,0,"arizona"
"638",0,1,"arizona"
"639",1,0,"arizona"
"640",0,1,"arizona"
"641",1,0,"arizona"
"642",1,1,"arizona"
"643",0,1,"arizona"
"644",1,1,"arizona"
"645",0,1,"arizona"
"646",1,1,"arizona"
"647",1,0,"arizona"
"648",0,1,"arizona"
"649",0,1,"arizona"
"650",0,1,"arizona"
"651",1,1,"arizona"
"652",0,0,"arizona"
"653",0,1,"arizona"
"654",0,0,"arizona"
"655",0,1,"arizona"
"656",0,1,"arizona"
"657",1,1,"arizona"
"658",0,1,"arizona"
"659",0,1,"arizona"
"660",0,1,"arizona"
"661",0,0,"arizona"
"662",0,1,"arizona"
"663",1,0,"arizona"
"664",0,1,"arizona"
"665",0,1,"arizona"
"666",0,0,"arizona"
"667",0,1,"arizona"
"668",0,1,"arizona"
"669",0,1,"arizona"
"670",0,1,"arizona"
"671",1,0,"arizona"
"672",1,1,"arizona"
"673",1,0,"arizona"
"674",1,0,"arizona"
"675",1,0,"arizona"
"676",1,1,"arizona"
"677",0,1,"arizona"
"678",0,1,"arizona"
"679",1,0,"arizona"
"680",1,0,"arizona"
"681",0,1,"arizona"
"682",0,1,"arizona"
"683",1,0,"arizona"
"684",1,0,"arizona"
"685",1,0,"arizona"
"686",1,0,"arizona"
"687",0,1,"arizona"
"688",1,1,"arizona"
"689",1,1,"arizona"
"690",1,0,"arizona"
"691",1,0,"arizona"
"692",1,1,"arizona"
"693",0,1,"arizona"
"694",0,1,"arizona"
"695",1,1,"arizona"
"696",1,0,"arizona"
"697",1,0,"arizona"
"698",1,0,"arizona"
"699",1,1,"arizona"
"700",1,1,"arizona"
"701",0,1,"arizona"
"702",1,0,"arizona"
"703",0,1,"arizona"
"704",0,1,"arizona"
"705",0,1,"arizona"
"706",0,1,"arizona"
"707",1,1,"arizona"
"708",0,0,"arizona"
"709",0,0,"arizona"
"710",0,0,"arizona"
"711",0,1,"arizona"
"712",1,0,"arizona"
"713",1,1,"arizona"
"714",0,1,"arizona"
"715",0,1,"arizona"
"716",0,1,"arizona"
"717",1,0,"arizona"
"718",1,0,"arizona"
"719",0,1,"arizona"
"720",0,1,"arizona"
"721",1,0,"arizona"
"722",1,1,"arizona"
"723",0,1,"arizona"
"724",0,0,"arizona"
"725",0,1,"arizona"
"726",1,0,"arizona"
"727",1,0,"arizona"
"728",1,1,"arizona"
"729",1,1,"arizona"
"730",0,1,"arizona"
"731",0,1,"arizona"
"732",0,0,"arizona"
"733",0,0,"arizona"
"734",1,1,"arizona"
"735",0,1,"arizona"
"736",1,1,"arizona"
"737",0,1,"arizona"
"738",0,1,"arizona"
"739",1,0,"arizona"
"740",0,1,"arizona"
"741",0,0,"arizona"
"742",1,1,"arizona"
"743",0,1,"arizona"
"744",1,1,"arizona"
"745",0,1,"arizona"
"746",1,0,"arizona"
"747",0,1,"arizona"
"748",1,1,"arizona"
"749",1,0,"arizona"
"750",1,0,"arizona"
"751",0,0,"arizona"
"752",1,1,"arizona"
"753",1,0,"arizona"
"754",0,1,"arizona"
"755",0,0,"arizona"
"756",0,1,"arizona"
"757",1,0,"arizona"
"758",0,1,"arizona"
"759",1,1,"arizona"
"760",0,1,"arizona"
"761",0,0,"arizona"
"762",0,0,"arizona"
"763",1,0,"arizona"
"764",0,0,"arizona"
"765",0,1,"arizona"
"766",1,1,"arizona"
"767",1,1,"arizona"
"768",1,0,"arizona"
"769",0,1,"arizona"
"770",0,0,"arizona"
"771",0,0,"arizona"
"772",0,1,"arizona"
"773",1,1,"arizona"
"774",0,1,"arizona"
"775",1,1,"arizona"
"776",1,0,"arizona"
"777",1,1,"arizona"
"778",1,1,"arizona"
"779",1,0,"arizona"
"780",1,1,"arizona"
"781",1,1,"arizona"
"782",1,0,"arizona"
"783",0,0,"arizona"
"784",0,1,"arizona"
"785",1,1,"arizona"
"786",0,1,"arizona"
"787",1,0,"arizona"
"788",1,0,"arizona"
"789",1,0,"arizona"
"790",0,0,"arizona"
"791",0,1,"arizona"
"792",1,1,"arizona"
"793",1,1,"arizona"
"794",0,0,"arizona"
"795",1,0,"arizona"
"796",1,1,"arizona"
"797",0,0,"arizona"
"798",0,1,"arizona"
"799",0,1,"arizona"
"800",0,1,"arizona"
"801",0,1,"arizona"
"802",0,1,"arizona"
"803",0,1,"arizona"
"804",1,1,"arizona"
"805",1,0,"arizona"
"806",0,0,"arizona"
"807",1,0,"arizona"
"808",0,1,"arizona"
"809",0,0,"arizona"
"810",0,1,"arizona"
"811",1,1,"arizona"
"812",1,1,"arizona"
"813",1,0,"arizona"
"814",0,1,"arizona"
"815",1,0,"arizona"
"816",0,0,"arizona"
"817",0,1,"arizona"
"818",1,0,"arizona"
"819",1,1,"arizona"
"820",1,0,"arizona"
"821",1,1,"arizona"
"822",1,1,"arizona"
"823",0,1,"arizona"
"824",0,1,"arizona"
"825",0,1,"arizona"
"826",0,1,"arizona"
"827",1,0,"arizona"
"828",1,1,"arizona"
"829",1,0,"arizona"
"830",1,1,"arizona"
"831",1,1,"arizona"
"832",0,1,"arizona"
"833",1,1,"arizona"
"834",1,0,"arizona"
"835",0,1,"arizona"
"836",0,0,"arizona"
"837",0,1,"arizona"
"838",1,0,"arizona"
"839",0,1,"arizona"
"840",1,1,"arizona"
"841",0,0,"arizona"
"842",0,1,"arizona"
"843",1,1,"arizona"
"844",0,0,"arizona"
"845",1,1,"arizona"
"846",0,1,"arizona"
"847",0,0,"arizona"
"848",0,1,"arizona"
"849",0,1,"arizona"
"850",1,1,"arizona"
"851",1,0,"arizona"
"852",0,1,"arizona"
"853",0,0,"arkansas"
"854",1,1,"arkansas"
"855",0,1,"arkansas"
"856",0,1,"arkansas"
"857",0,0,"arkansas"
"858",1,1,"arkansas"
"859",0,0,"arkansas"
"860",0,1,"arkansas"
"861",1,0,"arkansas"
"862",0,1,"arkansas"
"863",1,0,"arkansas"
"864",1,0,"arkansas"
